# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  Cl35  Cl37  Ni58  Ni60  Ni61  Ni62
2.722882E-03  3.192901E+07  7.207578E+05  7.332806E+05  1.808852E+04  3.520304E+05  6.957122E+03  3.070895E+04  6.068963E+02
2.786306E-03  3.125117E+07  7.859365E+05  7.736987E+05  1.903652E+04  3.467367E+05  8.158510E+03  3.024716E+04  7.116980E+02
2.851207E-03  3.076305E+07  7.374840E+05  6.617424E+05  2.126080E+04  3.162544E+05  6.644000E+03  2.758808E+04  5.795815E+02
2.917620E-03  3.004072E+07  7.077112E+05  6.817402E+05  1.428408E+04  2.713975E+05  5.194211E+03  2.367504E+04  4.531109E+02
2.985580E-03  2.913991E+07  7.943903E+05  6.662219E+05  2.284189E+04  2.918686E+05  2.537988E+03  2.546082E+04  2.213984E+02
3.055124E-03  2.866758E+07  6.721387E+05  6.547772E+05  1.984173E+04  3.311089E+05  7.440649E+03  2.888389E+04  6.490763E+02
3.126287E-03  2.782113E+07  6.750171E+05  6.386607E+05  1.575444E+04  2.872155E+05  3.635640E+03  2.505491E+04  3.171507E+02
3.199107E-03  2.729561E+07  6.063586E+05  6.442560E+05  2.013300E+04  2.901521E+05  8.290059E+03  2.531107E+04  7.231735E+02
3.273624E-03  2.678886E+07  6.110736E+05  6.689404E+05  2.198939E+04  3.055368E+05  8.101354E+03  2.665314E+04  7.067121E+02
3.349876E-03  2.629783E+07  5.937709E+05  6.096048E+05  2.148885E+04  2.872720E+05  1.017893E+04  2.505983E+04  8.879469E+02
3.427905E-03  2.547375E+07  5.857812E+05  6.045705E+05  1.657871E+04  2.542070E+05  2.210495E+03  2.217544E+04  1.928299E+02
3.507751E-03  2.499866E+07  5.886486E+05  6.048499E+05  2.268187E+04  2.581413E+05  5.400446E+03  2.251865E+04  4.711015E+02
3.589457E-03  2.427446E+07  5.414732E+05  5.657498E+05  1.477705E+04  2.543763E+05  1.055503E+03  2.219022E+04  9.207558E+01
3.673066E-03  2.378689E+07  5.652495E+05  5.528717E+05  1.959807E+04  2.650896E+05  5.157386E+03  2.312478E+04  4.498984E+02
3.758623E-03  2.298638E+07  5.402868E+05  5.181109E+05  2.217595E+04  2.651034E+05  6.047987E+03  2.312598E+04  5.275890E+02
3.846173E-03  2.243557E+07  5.398090E+05  5.102575E+05  1.280569E+04  2.521736E+05  2.955159E+03  2.199806E+04  2.577898E+02
3.935762E-03  2.238212E+07  5.689146E+05  5.101941E+05  1.732735E+04  2.512465E+05  3.850522E+03  2.191720E+04  3.358957E+02
4.027437E-03  2.168262E+07  5.032843E+05  5.117508E+05  1.881437E+04  2.116616E+05  4.703592E+03  1.846405E+04  4.103122E+02
4.121248E-03  2.106587E+07  4.762000E+05  4.881509E+05  1.470888E+04  2.509702E+05  4.596525E+03  2.189309E+04  4.009724E+02
4.217245E-03  2.065643E+07  4.986003E+05  4.536814E+05  1.437406E+04  2.443591E+05  1.078055E+04  2.131638E+04  9.404284E+02
4.315477E-03  2.029158E+07  5.135887E+05  4.907625E+05  1.404687E+04  2.335292E+05  6.145506E+03  2.037165E+04  5.360959E+02
4.415997E-03  1.962721E+07  4.418418E+05  4.993242E+05  1.715891E+04  2.196340E+05  1.715891E+03  1.915951E+04  1.496837E+02
4.518859E-03  1.942945E+07  4.049550E+05  4.242385E+05  1.760674E+04  2.230187E+05  5.030496E+03  1.945477E+04  4.388294E+02
4.624117E-03  1.896179E+07  4.539096E+05  4.580062E+05  1.720596E+04  1.835302E+05  5.735320E+03  1.601004E+04  5.003138E+02
4.731826E-03  1.821950E+07  4.243610E+05  4.395739E+05  8.807492E+03  2.137819E+05  2.402043E+03  1.864901E+04  2.095394E+02
4.842045E-03  1.799256E+07  4.585189E+05  4.248733E+05  1.643156E+04  2.003086E+05  6.259643E+03  1.747368E+04  5.460526E+02
4.954830E-03  1.765947E+07  4.136727E+05  4.335535E+05  9.940379E+03  1.865733E+05  5.352512E+03  1.627550E+04  4.669200E+02
5.070243E-03  1.693916E+07  4.565631E+05  4.289152E+05  1.120859E+04  1.950294E+05  4.483435E+03  1.701316E+04  3.911071E+02
5.188344E-03  1.678506E+07  3.833707E+05  3.870218E+05  1.533483E+04  1.891295E+05  5.841839E+03  1.649849E+04  5.096059E+02
5.309196E-03  1.619247E+07  3.996204E+05  3.967659E+05  1.427216E+04  1.748339E+05  4.995255E+03  1.525143E+04  4.357551E+02
5.432863E-03  1.606797E+07  3.995896E+05  3.793661E+05  1.115783E+04  1.896830E+05  9.065733E+03  1.654678E+04  7.908385E+02
5.559411E-03  1.563747E+07  3.584638E+05  3.918568E+05  1.294831E+04  1.642391E+05  3.407451E+03  1.432721E+04  2.972449E+02
5.688906E-03  1.549730E+07  3.836031E+05  3.922608E+05  1.265357E+04  1.904696E+05  3.995865E+03  1.661539E+04  3.485746E+02
5.821418E-03  1.507880E+07  3.657597E+05  3.657597E+05  1.106391E+04  1.835307E+05  5.206544E+03  1.601008E+04  4.541867E+02
5.957016E-03  1.466179E+07  3.669741E+05  3.523460E+05  1.335608E+04  1.691770E+05  2.544015E+03  1.475795E+04  2.219241E+02
6.095773E-03  1.407695E+07  3.430826E+05  3.443256E+05  8.079843E+03  1.560031E+05  3.107632E+03  1.360875E+04  2.710906E+02
6.237762E-03  1.402923E+07  3.370952E+05  3.443838E+05  1.032544E+04  1.773546E+05  1.214758E+03  1.547132E+04  1.059679E+02
6.383058E-03  1.356447E+07  3.288284E+05  3.323897E+05  1.305817E+04  1.477947E+05  1.780659E+03  1.289270E+04  1.553337E+02
6.531738E-03  1.339259E+07  3.248236E+05  3.155430E+05  8.700633E+03  1.670522E+05  3.480253E+03  1.457260E+04  3.035958E+02
6.683882E-03  1.301292E+07  3.100608E+05  3.106277E+05  8.502582E+03  1.626827E+05  1.700516E+03  1.419144E+04  1.483425E+02
6.839570E-03  1.264636E+07  3.179593E+05  3.057727E+05  1.107872E+04  1.578718E+05  2.215744E+03  1.377176E+04  1.932878E+02
6.998884E-03  1.229841E+07  3.096390E+05  2.901512E+05  1.515715E+04  1.634807E+05  3.789288E+03  1.426105E+04  3.305541E+02
7.161909E-03  1.230888E+07  3.084098E+05  3.142288E+05  5.819053E+03  1.333092E+05  1.587014E+03  1.162907E+04  1.384413E+02
7.328731E-03  1.200905E+07  2.889824E+05  3.117288E+05  8.788374E+03  1.421649E+05  5.686595E+03  1.240158E+04  4.960634E+02
7.499439E-03  1.155989E+07  2.748264E+05  2.970550E+05  1.060911E+04  1.460015E+05  4.041565E+03  1.273627E+04  3.525612E+02
7.674123E-03  1.140783E+07  2.572156E+05  2.804193E+05  7.405440E+03  1.392223E+05  4.443264E+03  1.214489E+04  3.876029E+02
7.852877E-03  1.117807E+07  2.479835E+05  2.832029E+05  8.201788E+03  1.403953E+05  1.929832E+03  1.224722E+04  1.683466E+02
8.035794E-03  1.084112E+07  2.583689E+05  2.753420E+05  8.015092E+03  1.206979E+05  7.072140E+03  1.052893E+04  6.169298E+02
8.222971E-03  1.061324E+07  2.570951E+05  2.727604E+05  1.105785E+04  1.377624E+05  1.382232E+03  1.201754E+04  1.205773E+02
8.414509E-03  1.036219E+07  2.638501E+05  2.643003E+05  1.035589E+04  1.188676E+05  3.151793E+03  1.036928E+04  2.749429E+02
8.610508E-03  1.009332E+07  2.428839E+05  2.653242E+05  7.480119E+03  1.320021E+05  1.760028E+03  1.151505E+04  1.535340E+02
8.811073E-03  9.796920E+06  2.524049E+05  2.597147E+05  1.031979E+04  1.251274E+05  3.009939E+03  1.091534E+04  2.625684E+02
9.016309E-03  9.563830E+06  2.357341E+05  2.374149E+05  9.664679E+03  1.100933E+05  1.680814E+03  9.603859E+03  1.466238E+02
9.226326E-03  9.346952E+06  2.295469E+05  2.394022E+05  9.444684E+03  1.116937E+05  4.106384E+03  9.743464E+03  3.582156E+02
9.441234E-03  9.174720E+06  2.283347E+05  2.383670E+05  6.821950E+03  1.095525E+05  1.605165E+03  9.556682E+03  1.400246E+02
9.661149E-03  8.975289E+06  2.258822E+05  2.305881E+05  7.450977E+03  1.223529E+05  1.176470E+03  1.067331E+04  1.026280E+02
9.886186E-03  8.762173E+06  2.149921E+05  2.326207E+05  1.073044E+04  1.165019E+05  1.149690E+03  1.016291E+04  1.002919E+02
1.011646E-02  8.553733E+06  1.958670E+05  2.179629E+05  6.366614E+03  1.033639E+05  3.745067E+03  9.016823E+03  3.266965E+02
1.035211E-02  8.422707E+06  2.151974E+05  2.122695E+05  6.587674E+03  1.068667E+05  3.293837E+03  9.322391E+03  2.873340E+02
1.059324E-02  8.071471E+06  2.156636E+05  2.206707E+05  3.934162E+03  1.140907E+05  2.861209E+03  9.952568E+03  2.495942E+02
1.083999E-02  8.062496E+06  2.016673E+05  2.139001E+05  6.990200E+03  9.961035E+04  1.398040E+03  8.689391E+03  1.219564E+02
1.109248E-02  7.764551E+06  1.871717E+05  1.936612E+05  5.123313E+03  1.034909E+05  1.707771E+03  9.027908E+03  1.489754E+02
1.135086E-02  7.638543E+06  1.989326E+05  1.899205E+05  6.008030E+03  1.114823E+05  1.001338E+03  9.725030E+03  8.735057E+01
1.161526E-02  7.570677E+06  1.944043E+05  2.198465E+05  7.502179E+03  9.198324E+04  1.630909E+03  8.024049E+03  1.422704E+02
1.188581E-02  7.287102E+06  1.797789E+05  1.810539E+05  7.650166E+03  9.626458E+04  3.187569E+02  8.397527E+03  2.780638E+01
1.216267E-02  7.118112E+06  1.769326E+05  1.946882E+05  6.230022E+03  1.074679E+05  1.869007E+03  9.374834E+03  1.630406E+02
1.244597E-02  6.939646E+06  1.765581E+05  1.905610E+05  4.870568E+03  1.016731E+05  3.044105E+02  8.869333E+03  2.655489E+01
1.273587E-02  6.803694E+06  1.588550E+05  1.755139E+05  5.057181E+03  8.567460E+04  1.189925E+03  7.473722E+03  1.038017E+02
1.303253E-02  6.706383E+06  1.657046E+05  1.869264E+05  4.069936E+03  9.273641E+04  2.325678E+03  8.089751E+03  2.028778E+02
1.333610E-02  6.525886E+06  1.477280E+05  1.593758E+05  5.965940E+03  9.460276E+04  1.988647E+03  8.252560E+03  1.734772E+02
1.364674E-02  6.422592E+06  1.529717E+05  1.749042E+05  4.997262E+03  9.272697E+04  2.221005E+03  8.088927E+03  1.937468E+02
1.396461E-02  6.246281E+06  1.573576E+05  1.739072E+05  5.697429E+03  9.224408E+04  1.627837E+03  8.046803E+03  1.420024E+02
1.428989E-02  6.029597E+06  1.437007E+05  1.733953E+05  6.893391E+03  8.139505E+04  1.060522E+03  7.100401E+03  9.251336E+01
1.462274E-02  5.985102E+06  1.432797E+05  1.564936E+05  4.663716E+03  9.405161E+04  1.813667E+03  8.204481E+03  1.582131E+02
1.496335E-02  5.770627E+06  1.552101E+05  1.622997E+05  4.557557E+03  8.963195E+04  2.278778E+03  7.818937E+03  1.987865E+02
1.531189E-02  5.684304E+06  1.417798E+05  1.526669E+05  4.948682E+03  8.239556E+04  1.732039E+03  7.187680E+03  1.510924E+02
1.566855E-02  5.518402E+06  1.375852E+05  1.586220E+05  5.561442E+03  7.350776E+04  2.901622E+03  6.412362E+03  2.531196E+02
1.603352E-02  5.437684E+06  1.219296E+05  1.429601E+05  5.671146E+03  8.388570E+04  2.362978E+03  7.317670E+03  2.061316E+02
1.640699E-02  5.339770E+06  1.380895E+05  1.533302E+05  4.618379E+03  7.805061E+04  3.463784E+03  6.808653E+03  3.021591E+02
1.678915E-02  5.200169E+06  1.252427E+05  1.351719E+05  5.641565E+03  7.988456E+04  1.128313E+03  6.968635E+03  9.842705E+01
1.718022E-02  5.105616E+06  1.265819E+05  1.323155E+05  6.395251E+03  7.828669E+04  1.984733E+03  6.829247E+03  1.731358E+02
1.758040E-02  4.974743E+06  1.193904E+05  1.387859E+05  4.956641E+03  7.865973E+04  1.939555E+03  6.861789E+03  1.691948E+02
1.798990E-02  4.811802E+06  1.223589E+05  1.406812E+05  4.633213E+03  7.265721E+04  1.474204E+03  6.338165E+03  1.286005E+02
1.840894E-02  4.749196E+06  1.216318E+05  1.354208E+05  5.350975E+03  7.306139E+04  1.646454E+03  6.373424E+03  1.436265E+02
1.883774E-02  4.607504E+06  1.100137E+05  1.329416E+05  3.620196E+03  7.381178E+04  2.011220E+03  6.438883E+03  1.754464E+02
1.927653E-02  4.510683E+06  1.181229E+05  1.352222E+05  5.110142E+03  7.390051E+04  1.965439E+03  6.446624E+03  1.714528E+02
1.972553E-02  4.386879E+06  1.204279E+05  1.311838E+05  4.033471E+03  6.876107E+04  1.536560E+03  5.998291E+03  1.340400E+02
2.018500E-02  4.278575E+06  1.109295E+05  1.274469E+05  4.692449E+03  6.625739E+04  9.384899E+02  5.779885E+03  8.186806E+01
2.065517E-02  4.204662E+06  1.051028E+05  1.129901E+05  4.769062E+03  6.126410E+04  1.467404E+03  5.344301E+03  1.280072E+02
2.113629E-02  4.108414E+06  9.518184E+04  1.208146E+05  3.047253E+03  6.668107E+04  1.434001E+03  5.816844E+03  1.250934E+02
2.162862E-02  4.029609E+06  9.756966E+04  1.157873E+05  2.277209E+03  6.989281E+04  5.255098E+02  6.097016E+03  4.584223E+01
2.213241E-02  3.939596E+06  1.040790E+05  1.122958E+05  3.423652E+03  5.974272E+04  1.540643E+03  5.211586E+03  1.343962E+02
2.264794E-02  3.851426E+06  9.585488E+04  1.057248E+05  2.676576E+03  6.256496E+04  1.171002E+03  5.457781E+03  1.021510E+02
2.317548E-02  3.733513E+06  9.432687E+04  1.157425E+05  3.433040E+03  5.803473E+04  1.634781E+03  5.062591E+03  1.426082E+02
2.371531E-02  3.631594E+06  1.001676E+05  1.091140E+05  3.195138E+03  6.438203E+04  1.437812E+03  5.616290E+03  1.254258E+02
2.426771E-02  3.581870E+06  8.992534E+04  1.060057E+05  3.122408E+03  5.792066E+04  2.341806E+03  5.052640E+03  2.042846E+02
2.483298E-02  3.453346E+06  8.940405E+04  1.055761E+05  3.509033E+03  5.583939E+04  1.220533E+03  4.871083E+03  1.064718E+02
2.541141E-02  3.365644E+06  8.841263E+04  1.031729E+05  3.280064E+03  5.233193E+04  1.341844E+03  4.565114E+03  1.170542E+02
2.600332E-02  3.351829E+06  9.077111E+04  9.820181E+04  3.496800E+03  5.026651E+04  1.457000E+03  4.384939E+03  1.270997E+02
2.660901E-02  3.277668E+06  8.386387E+04  9.810222E+04  2.420519E+03  5.068852E+04  1.708602E+03  4.421753E+03  1.490479E+02
2.722882E-02  3.198885E+06  7.847633E+04  1.004608E+05  3.756846E+03  4.995213E+04  1.947994E+03  4.357515E+03  1.699310E+02
2.786306E-02  3.136675E+06  8.240095E+04  8.933568E+04  2.855478E+03  5.792542E+04  8.158510E+02  5.053056E+03  7.116980E+01
2.851207E-02  3.044015E+06  7.414704E+04  8.982687E+04  2.657600E+03  5.076016E+04  1.063040E+03  4.428002E+03  9.273303E+01
2.917620E-02  2.973946E+06  7.973114E+04  9.791088E+04  2.986671E+03  4.661804E+04  1.298553E+03  4.066670E+03  1.132777E+02
2.985580E-02  2.891784E+06  7.322096E+04  9.073308E+04  3.680083E+03  5.215566E+04  1.395893E+03  4.549737E+03  1.217691E+02
3.055124E-02  2.849645E+06  7.130622E+04  8.643554E+04  2.604227E+03  4.861224E+04  8.680758E+02  4.240632E+03  7.572556E+01
3.126287E-02  2.779689E+06  7.186448E+04  8.180190E+04  3.272076E+03  4.556669E+04  8.483160E+02  3.974956E+03  7.400184E+01
3.199107E-02  2.695690E+06  7.389996E+04  8.609819E+04  2.013300E+03  4.595061E+04  1.184294E+03  4.008447E+03  1.033105E+02
3.273624E-02  2.647407E+06  6.770418E+04  8.182368E+04  2.430406E+03  4.721932E+04  5.786682E+02  4.119122E+03  5.047943E+01
3.349876E-02  2.584656E+06  7.057391E+04  9.025317E+04  2.261984E+03  4.297770E+04  6.785953E+02  3.749109E+03  5.919646E+01
3.427905E-02  2.545164E+06  7.106742E+04  8.101465E+04  2.321020E+03  4.575725E+04  6.631486E+02  3.991580E+03  5.784898E+01
3.507751E-02  2.486365E+06  6.696553E+04  8.435496E+04  2.484205E+03  4.925206E+04  5.400446E+02  4.296446E+03  4.711015E+01
