# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  F19  Mg24  Mg25  Mg26  Al27  Si28  Si29  Si30  K39  K41
2.018500E-03  5.428313E+07  2.329865E+07  2.163178E+06  4.691568E+06  3.230721E+05  4.120340E+05  7.374471E+05  2.320032E+06  1.849471E+05  1.076907E+05  5.333030E+06  7.023306E+04
2.065517E-03  5.334263E+07  2.340203E+07  2.079621E+06  4.484112E+06  2.333568E+05  4.140940E+05  6.954949E+05  2.532608E+06  1.876006E+05  1.006637E+05  5.147577E+06  7.778561E+04
2.113629E-03  5.150910E+07  2.279555E+07  1.971918E+06  4.310497E+06  2.235735E+05  4.314969E+05  6.886064E+05  2.410122E+06  1.878017E+05  8.719367E+04  5.291985E+06  6.036485E+04
2.162862E-03  5.056165E+07  2.334942E+07  1.931402E+06  4.262630E+06  2.272237E+05  4.347839E+05  6.794863E+05  2.342152E+06  1.354603E+05  7.646952E+04  5.042619E+06  5.899078E+04
2.213241E-03  4.926981E+07  2.361646E+07  1.840465E+06  4.453840E+06  2.156462E+05  3.992656E+05  6.640193E+05  2.256812E+06  1.686737E+05  1.003502E+05  5.000429E+06  5.551287E+04
2.264794E-03  4.829017E+07  2.299542E+07  1.838215E+06  4.104164E+06  2.357756E+05  4.193884E+05  5.842226E+05  2.376534E+06  1.690073E+05  8.763339E+04  5.061872E+06  6.468179E+04
2.317548E-03  4.745195E+07  2.255354E+07  1.808606E+06  3.865972E+06  1.957454E+05  3.853738E+05  6.076264E+05  2.363218E+06  1.590431E+05  6.932650E+04  4.818192E+06  4.078029E+04
2.371531E-03  4.563853E+07  2.181500E+07  1.769430E+06  3.815831E+06  1.932823E+05  3.626534E+05  5.997729E+05  2.257617E+06  1.594081E+05  1.095931E+05  4.698553E+06  5.380023E+04
2.426771E-03  4.504949E+07  2.152289E+07  1.705786E+06  3.810756E+06  2.122496E+05  3.699763E+05  5.647007E+05  2.171177E+06  1.343598E+05  8.178424E+04  4.714277E+06  4.673385E+04
2.483298E-03  4.412489E+07  2.077988E+07  1.672666E+06  3.767780E+06  1.864861E+05  3.539430E+05  5.727787E+05  2.095114E+06  1.255927E+05  9.134012E+04  4.154073E+06  6.660217E+04
2.541141E-03  4.273555E+07  2.027340E+07  1.552769E+06  3.607631E+06  1.562067E+05  3.514650E+05  5.430042E+05  1.937707E+06  1.264530E+05  8.182255E+04  4.423997E+06  5.950731E+04
2.600332E-03  4.172642E+07  2.010813E+07  1.571942E+06  3.451003E+06  2.235247E+05  3.489165E+05  5.360957E+05  2.064423E+06  1.272092E+05  6.360458E+04  4.379630E+06  4.361457E+04
2.660901E-03  4.081746E+07  1.989194E+07  1.518401E+06  3.487882E+06  2.113330E+05  3.534056E+05  5.398759E+05  1.967705E+06  1.420726E+05  7.991584E+04  4.288817E+06  3.196633E+04
2.722882E-03  4.058600E+07  1.947559E+07  1.613999E+06  3.295682E+06  1.839612E+05  3.106514E+05  5.414707E+05  1.940270E+06  1.388386E+05  6.421287E+04  3.982933E+06  5.900642E+04
2.786306E-03  3.861743E+07  1.877787E+07  1.433102E+06  3.425877E+06  1.662059E+05  3.374997E+05  5.121855E+05  1.879144E+06  1.424622E+05  7.123110E+04  4.073740E+06  5.257533E+04
2.851207E-03  3.799031E+07  1.830569E+07  1.533070E+06  3.372755E+06  1.491636E+05  3.563353E+05  5.071562E+05  1.831397E+06  1.723668E+05  7.623917E+04  4.106971E+06  4.972120E+04
2.917620E-03  3.751264E+07  1.796998E+07  1.384798E+06  3.182606E+06  1.635843E+05  2.915364E+05  4.972316E+05  1.690911E+06  1.441486E+05  5.830729E+04  3.833704E+06  4.696976E+04
2.985580E-03  3.658752E+07  1.752295E+07  1.353276E+06  3.160810E+06  1.820196E+05  3.323836E+05  5.144032E+05  1.725229E+06  1.202912E+05  6.647673E+04  3.668882E+06  4.590060E+04
3.055124E-03  3.599444E+07  1.710088E+07  1.478694E+06  3.050193E+06  1.484881E+05  2.737749E+05  4.841330E+05  1.738548E+06  1.067258E+05  5.258953E+04  3.843676E+06  6.805703E+04
3.126287E-03  3.493628E+07  1.650755E+07  1.333180E+06  2.950531E+06  1.692928E+05  2.569622E+05  4.655551E+05  1.661185E+06  1.058080E+05  6.953095E+04  3.588402E+06  4.081165E+04
3.199107E-03  3.384856E+07  1.644347E+07  1.199434E+06  2.884846E+06  1.270337E+05  2.747472E+05  4.741605E+05  1.635189E+06  1.329422E+05  5.613115E+04  3.522968E+06  2.806557E+04
3.273624E-03  3.307374E+07  1.612403E+07  1.261629E+06  2.816292E+06  1.501252E+05  2.757108E+05  4.272795E+05  1.547445E+06  1.226985E+05  5.629696E+04  3.516395E+06  4.186184E+04
3.349876E-03  3.271023E+07  1.556797E+07  1.270999E+06  2.752185E+06  1.862063E+05  2.553283E+05  3.498421E+05  1.526327E+06  1.170842E+05  5.924745E+04  3.415192E+06  3.385568E+04
3.427905E-03  3.154520E+07  1.529494E+07  1.290316E+06  2.766736E+06  1.461256E+05  2.729515E+05  4.494050E+05  1.446092E+06  9.374093E+04  5.238464E+04  3.315396E+06  3.446358E+04
3.507751E-03  3.106963E+07  1.490906E+07  1.208406E+06  2.625622E+06  1.441465E+05  2.600026E+05  3.866360E+05  1.427993E+06  1.131617E+05  6.062236E+04  3.351743E+06  3.098476E+04
3.589457E-03  2.994771E+07  1.483430E+07  1.119024E+06  2.580337E+06  1.184849E+05  2.527677E+05  4.015320E+05  1.507391E+06  9.478789E+04  7.372391E+04  3.264916E+06  3.817845E+04
3.673066E-03  2.956577E+07  1.434868E+07  1.141153E+06  2.557624E+06  1.415184E+05  2.367217E+05  3.537961E+05  1.435769E+06  1.067821E+05  4.245553E+04  3.172586E+06  3.473634E+04
3.758623E-03  2.881860E+07  1.413396E+07  1.117692E+06  2.454145E+06  1.445833E+05  2.338478E+05  4.148913E+05  1.355311E+06  8.423550E+04  5.280434E+04  3.033735E+06  3.268840E+04
3.846173E-03  2.837639E+07  1.376309E+07  1.115594E+06  2.420397E+06  1.314632E+05  2.346679E+05  3.268150E+05  1.344119E+06  1.056620E+05  4.791648E+04  2.936420E+06  3.563021E+04
3.935762E-03  2.777128E+07  1.337896E+07  1.092601E+06  2.361700E+06  1.248687E+05  2.485368E+05  3.457903E+05  1.330332E+06  9.004956E+04  4.922709E+04  2.819152E+06  2.881586E+04
4.027437E-03  2.721892E+07  1.288669E+07  1.118184E+06  2.340794E+06  1.173330E+05  2.241061E+05  3.426125E+05  1.305917E+06  9.151977E+04  5.162654E+04  2.868793E+06  3.519991E+04
4.121248E-03  2.592857E+07  1.279286E+07  1.013614E+06  2.230180E+06  1.192487E+05  1.995123E+05  3.233475E+05  1.284217E+06  9.402302E+04  4.357164E+04  2.727814E+06  2.293244E+04
4.217245E-03  2.603757E+07  1.260027E+07  1.007349E+06  2.134594E+06  1.075701E+05  2.241044E+05  3.339155E+05  1.218007E+06  8.964175E+04  5.378505E+04  2.693735E+06  3.585670E+04
4.315477E-03  2.516784E+07  1.214810E+07  8.869627E+05  2.154991E+06  1.215467E+05  1.883427E+05  3.109845E+05  1.249413E+06  8.103116E+04  4.051558E+04  2.728779E+06  3.723053E+04
4.415997E-03  2.475011E+07  1.176029E+07  9.748521E+05  2.169073E+06  9.523802E+04  2.129479E+05  3.499195E+05  1.182450E+06  7.918667E+04  4.494378E+04  2.677365E+06  2.782234E+04
4.518859E-03  2.400791E+07  1.159926E+07  9.212898E+05  2.064275E+06  1.202592E+05  2.237866E+05  3.210397E+05  1.077104E+06  7.947562E+04  4.496647E+04  2.434464E+06  3.032622E+04
4.624117E-03  2.340113E+07  1.137099E+07  9.514151E+05  2.030571E+06  1.348945E+05  1.624866E+05  3.208854E+05  1.156823E+06  6.949111E+04  4.598676E+04  2.385180E+06  3.576748E+04
4.731826E-03  2.302924E+07  1.133087E+07  9.327542E+05  1.955388E+06  1.118506E+05  1.767639E+05  3.065905E+05  1.117507E+06  7.390130E+04  3.695065E+04  2.473696E+06  2.696399E+04
