# Er [keV]  dR/dEr H1 [1/keV/decay]  O16  S32  S34  Ca40  Ca44
3.673066E-03  2.952461E+07  2.021141E+06  5.532084E+04  0.000000E+00  1.633895E+05  6.432656E+03
3.758623E-03  2.886763E+07  1.971362E+06  5.783333E+04  0.000000E+00  1.546413E+05  6.286231E+03
3.846173E-03  2.821175E+07  1.936317E+06  5.283100E+04  0.000000E+00  1.351491E+05  6.143139E+03
3.935762E-03  2.774727E+07  1.996699E+06  6.603635E+04  0.000000E+00  1.488819E+05  0.000000E+00
4.027437E-03  2.698308E+07  1.939515E+06  4.693322E+04  0.000000E+00  1.478396E+05  9.386644E+03
4.121248E-03  2.613267E+07  1.866701E+06  6.191760E+04  0.000000E+00  1.307149E+05  8.026355E+03
4.217245E-03  2.580450E+07  1.843258E+06  5.714662E+04  0.000000E+00  1.535115E+05  6.723131E+03
4.315477E-03  2.522697E+07  1.759690E+06  4.599066E+04  0.000000E+00  1.324969E+05  4.380063E+03
4.415997E-03  2.495878E+07  1.733546E+06  4.387369E+04  0.000000E+00  1.626537E+05  1.070090E+04
4.518859E-03  2.396295E+07  1.687811E+06  5.960672E+04  0.000000E+00  1.390823E+05  5.228659E+03
4.624117E-03  2.355953E+07  1.661655E+06  5.416219E+04  0.000000E+00  1.440919E+05  2.043856E+03
4.731826E-03  2.312511E+07  1.674763E+06  3.994665E+04  0.000000E+00  1.158453E+05  3.994665E+03
4.842045E-03  2.250894E+07  1.511721E+06  4.489295E+04  0.000000E+00  1.151602E+05  9.759338E+02
4.954830E-03  2.190597E+07  1.607016E+06  3.147272E+04  0.000000E+00  1.230297E+05  2.861156E+03
5.070243E-03  2.154060E+07  1.494011E+06  6.151263E+04  0.000000E+00  1.220932E+05  6.524066E+03
5.188344E-03  2.098835E+07  1.455449E+06  5.009369E+04  0.000000E+00  1.156709E+05  2.732383E+03
5.309196E-03  2.056667E+07  1.544258E+06  4.005280E+04  0.000000E+00  1.201584E+05  3.560249E+03
5.432863E-03  2.015244E+07  1.437782E+06  3.566188E+04  0.000000E+00  1.209025E+05  3.479207E+03
5.559411E-03  1.944211E+07  1.365954E+06  3.995013E+04  0.000000E+00  1.096504E+05  5.100017E+03
5.688906E-03  1.912000E+07  1.346491E+06  4.402468E+04  0.000000E+00  1.187836E+05  4.153272E+03
5.821418E-03  1.867991E+07  1.360487E+06  4.626954E+04  0.000000E+00  9.578607E+04  2.435239E+03
5.957016E-03  1.831895E+07  1.286682E+06  4.442305E+04  0.000000E+00  1.316826E+05  1.586537E+03
6.095773E-03  1.796786E+07  1.268246E+06  3.100847E+04  0.000000E+00  1.023279E+05  3.100847E+03
6.237762E-03  1.763916E+07  1.213620E+06  3.257533E+04  0.000000E+00  1.007562E+05  7.575658E+03
6.383058E-03  1.699482E+07  1.238558E+06  4.589993E+04  0.000000E+00  1.021644E+05  2.961286E+03
6.531738E-03  1.672300E+07  1.197342E+06  3.545001E+04  0.000000E+00  9.332759E+04  5.064288E+03
6.683882E-03  1.618114E+07  1.178572E+06  3.676408E+04  0.000000E+00  9.544520E+04  4.949011E+03
6.839570E-03  1.584460E+07  1.153817E+06  4.076358E+04  0.000000E+00  9.327261E+04  3.454541E+03
6.998884E-03  1.548528E+07  1.182917E+06  3.645978E+04  0.000000E+00  8.237211E+04  1.350362E+03
7.161909E-03  1.520471E+07  1.113763E+06  3.035136E+04  0.000000E+00  8.643540E+04  5.938310E+03
7.328731E-03  1.513716E+07  1.085187E+06  2.901569E+04  0.000000E+00  7.930954E+04  6.447930E+03
7.499439E-03  1.448447E+07  9.836107E+05  2.646486E+04  0.000000E+00  9.010655E+04  5.671042E+03
7.674123E-03  1.425082E+07  1.033882E+06  2.709399E+04  0.000000E+00  9.606052E+04  3.078863E+03
7.852877E-03  1.381872E+07  9.953042E+05  3.791062E+04  0.000000E+00  8.665285E+04  3.610535E+03
8.035794E-03  1.363766E+07  9.779409E+05  2.999097E+04  0.000000E+00  7.821175E+04  5.880582E+03
8.222971E-03  1.319965E+07  9.447614E+05  2.758428E+04  0.000000E+00  7.873012E+04  2.873362E+03
8.414509E-03  1.296096E+07  9.064083E+05  2.864115E+04  0.000000E+00  6.907572E+04  3.369548E+03
8.610508E-03  1.276033E+07  8.901664E+05  2.414755E+04  0.000000E+00  7.847953E+04  3.841655E+03
8.811073E-03  1.225910E+07  9.053005E+05  2.842472E+04  0.000000E+00  8.044732E+04  2.145262E+03
9.016309E-03  1.215091E+07  8.747353E+05  2.620537E+04  0.000000E+00  7.442326E+04  3.668752E+03
9.226326E-03  1.176318E+07  8.420195E+05  2.407233E+04  0.000000E+00  7.580224E+04  2.048709E+03
9.441234E-03  1.148190E+07  8.343647E+05  1.901971E+04  0.000000E+00  7.307574E+04  1.501556E+03
9.661149E-03  1.113445E+07  8.173288E+05  2.445628E+04  0.000000E+00  6.994495E+04  2.934753E+03
9.886186E-03  1.089486E+07  8.144978E+05  2.581155E+04  0.000000E+00  6.405089E+04  2.389958E+03
1.011646E-02  1.072581E+07  7.870825E+05  2.896090E+04  0.000000E+00  7.427069E+04  2.802668E+03
1.035211E-02  1.053461E+07  7.518201E+05  2.464984E+04  0.000000E+00  6.664586E+04  2.738871E+03
1.059324E-02  1.020917E+07  7.864528E+05  2.899571E+04  0.000000E+00  5.977576E+04  2.230439E+03
1.083999E-02  9.963262E+06  7.201623E+05  1.700141E+04  0.000000E+00  6.190257E+04  1.307801E+03
1.109248E-02  9.683219E+06  7.208098E+05  2.428260E+04  0.000000E+00  5.878945E+04  1.278032E+03
1.135086E-02  9.427416E+06  7.081490E+05  2.414617E+04  0.000000E+00  6.994064E+04  2.081567E+03
1.161526E-02  9.404442E+06  7.005731E+05  2.278287E+04  0.000000E+00  5.655033E+04  2.034185E+03
1.188581E-02  8.965342E+06  6.655425E+05  1.868608E+04  0.000000E+00  5.645582E+04  2.385457E+03
1.216267E-02  8.861506E+06  6.830291E+05  2.175747E+04  0.000000E+00  6.294125E+04  3.108210E+03
1.244597E-02  8.598285E+06  6.511551E+05  1.784507E+04  0.000000E+00  5.353520E+04  1.518729E+03
1.273587E-02  8.338374E+06  6.122154E+05  1.595471E+04  0.000000E+00  5.009035E+04  1.484159E+03
1.303253E-02  8.239581E+06  6.341765E+05  1.776709E+04  0.000000E+00  5.402647E+04  1.450375E+03
1.333610E-02  8.064781E+06  6.169062E+05  1.736267E+04  0.000000E+00  5.456838E+04  2.126041E+03
1.364674E-02  8.008633E+06  5.831260E+05  2.423921E+04  0.000000E+00  4.709331E+04  1.731372E+03
1.396461E-02  7.746474E+06  5.766203E+05  1.488926E+04  0.000000E+00  5.989542E+04  3.045530E+03
1.428989E-02  7.561545E+06  5.591959E+05  1.355827E+04  0.000000E+00  5.257962E+04  2.645516E+03
1.462274E-02  7.439190E+06  5.538997E+05  1.615810E+04  0.000000E+00  4.879747E+04  2.585296E+03
1.496335E-02  7.208903E+06  5.283434E+05  1.831675E+04  0.000000E+00  4.831831E+04  1.579030E+03
1.531189E-02  7.046351E+06  5.295874E+05  1.913428E+04  0.000000E+00  4.567537E+04  1.543087E+03
1.566855E-02  6.922751E+06  5.093895E+05  1.779395E+04  0.000000E+00  4.825478E+04  1.507962E+03
1.603352E-02  6.641090E+06  5.081098E+05  1.738891E+04  0.000000E+00  4.067236E+04  2.652546E+03
